"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"168",168,"NOR",2022-10-16,37,"Sun",6,6,NA,"CIN","L 26-30",28,37,75.7,273,3,3,27,0,122.9
"169",169,"CIN",2022-10-16,36,"Sun",6,6,"@","NOR","W 30-26",19,36,52.8,171,1,1,7,0,75.1
"170",170,"TAM",2022-10-16,30,"Sun",6,6,"@","PIT","L 18-20",20,30,66.7,193,2,2,18,0,106.7
"171",171,"MIN",2022-10-16,47,"Sun",6,6,"@","MIA","W 24-16",30,47,63.8,385,2,6,33,2,85.9
"172",172,"CLE",2022-10-16,34,"Sun",6,6,NA,"NWE","L 15-38",24,34,70.6,301,2,2,8,0,117.4
"173",173,"NWE",2022-10-16,45,"Sun",6,6,"@","CLE","W 38-15",21,45,46.7,258,1,4,8,2,53.8
"174",174,"IND",2022-10-16,22,"Sun",6,6,NA,"JAX","W 34-27",20,22,90.9,136,1,4,29,0,107.6
"175",175,"PIT",2022-10-16,40,"Sun",6,6,NA,"TAM","W 20-18",25,40,62.5,229,1,2,14,0,86.4
"176",176,"MIA",2022-10-16,30,"Sun",6,6,NA,"MIN","L 16-24",20,30,66.7,156,2,3,19,0,101.5
"177",177,"ARI",2022-10-16,31,"Sun",6,6,"@","SEA","L 9-19",20,31,64.5,160,0,5,37,0,77.4
"178",178,"BAL",2022-10-16,27,"Sun",6,6,"@","NYG","L 20-24",19,27,70.4,155,2,4,18,0,109.3
"179",179,"DAL",2022-10-16,25,"Sun",6,6,"@","PHI","L 17-26",15,25,60,132,2,4,23,0,100.7
"180",180,"SFO",2022-10-16,14,"Sun",6,6,"@","ATL","L 14-28",13,14,92.9,121,2,2,8,0,142.3
"181",181,"JAX",2022-10-16,58,"Sun",6,6,"@","IND","L 27-34",42,58,72.4,389,3,0,0,0,107.6
"182",182,"NYG",2022-10-16,32,"Sun",6,6,NA,"BAL","W 24-20",17,32,53.1,195,1,2,15,1,69.1
"183",183,"GNB",2022-10-16,18,"Sun",6,6,NA,"NYJ","L 10-27",10,18,55.6,99,0,2,11,0,71.3
"184",184,"SEA",2022-10-16,37,"Sun",6,6,NA,"ARI","W 19-9",23,37,62.2,171,0,6,51,1,61.9
"185",185,"PHI",2022-10-16,38,"Sun",6,6,NA,"DAL","W 26-17",18,38,47.4,181,1,0,0,3,37.3
"186",186,"KAN",2022-10-16,40,"Sun",6,6,NA,"BUF","L 20-24",27,40,67.5,318,3,1,11,0,116.5
"187",187,"DEN",2022-10-17,57,"Mon",6,6,"@","LAC","L 16-19 (OT)",37,57,64.9,224,0,2,14,1,65.2
"188",188,"LAC",2022-10-17,28,"Mon",6,6,NA,"DEN","W 19-16 (OT)",15,28,53.6,160,1,4,28,0,82.4
"189",189,"NOR",2022-10-20,29,"Thu",7,7,"@","ARI","L 34-42",20,29,69,189,1,2,15,0,98.2
"190",190,"ARI",2022-10-20,49,"Thu",7,7,NA,"NOR","W 42-34",32,49,65.3,409,4,0,0,3,93
"191",191,"NYJ",2022-10-23,46,"Sun",7,7,"@","DEN","W 16-9",24,46,52.2,219,0,1,6,1,56.3
"192",192,"SFO",2022-10-23,36,"Sun",7,7,NA,"KAN","L 23-44",25,36,69.4,417,3,1,6,1,124.4
"193",193,"PIT",2022-10-23,35,"Sun",7,7,"@","MIA","L 10-16",21,35,60,261,1,0,0,0,92.7
